5MUFHHTWHG6ZNP6.4988.0	Here are some good ideas:1.
5MUFHHTWHG6ZNP6.4988.1	 Do something that gets your heart rate up a bit like, walking, running, biking, and swimming.2. Eat Whole, Organic foods like: Broccoli, Cabbage, Organic Brown Rice, Beans, Spinach, Sweet Potato, Apples, and other fruits and vegetables in their Natural State.3. Avoid eating corn, white bread, white rice, white potatoes, candy, sodas, chips, and anything else that you already know you shouldn???t be eating.4. Drink clean water as your beverage of choice.
5MUFHHTWHG6ZNP6.4988.2	 Avoid Fruit drinks and fruit juices (unless YOU juice them yourself)5.
5MUFHHTWHG6ZNP6.4988.3	 Stop smoking, drinking beer&wine, and drinking coffee.6. Get 8 hours of sleep each night.7. Hang out with people who want to be healthy.8. Avoid anything with High Fructose Corn Syrup.9. Look into taking a multi-vitamin..Ton
5MUFHHTWHG6ZNP6.4988.4	Tone up the muscles:1. Join a gym and get a trainer.2. If you???re short on cash, start a light stretching&yoga regimen.3. Do push-ups, and light dumbbell curls for the upper body.4. As I said above, walk, run, swim, and or bike5. Take an aerobics class, a yoga class, or some other fitness class.6. Join the local YMCA.7. Buy or borrow this book by Bill Pearl called GETTING STRONGER.In the book, he describes everything you need for a great fitness plan.8. Crunches&Curl ups for the abs..
5MUFHHTWHG6ZNP6.4988.5	Mental Health:1.
5MUFHHTWHG6ZNP6.4988.6	 Get a friend to talk to each day about your feelings.2. If you have some money or insurance, get a counselor to talk to.3. Learn how to meditate.4. Join a support group for the issue you???re dealing with.5. Ask your Higher Self (or God) for guidance.6. Start keeping
5MUFHHTWHG6ZNP6.4988.7	a diary or journal about your feelings&thoughts.7. Write a ???gratitude??? list every night.8. Do something that makes you happy each day like: listen to your favorite music, draw, paint, write, or anything creative.9. Do something for someone else who needs help.10.
5MUFHHTWHG6ZNP6.4988.8	 If the above suggestions don t improve your mental health, talk with your therapist about the possibility of taking some medication.11.
5MUFHHTWHG6ZNP6.4988.9	 Check out the book FEELING GOOD by David Burns..Tak
5MUFHHTWHG6ZNP6.4988.10	Take care of yourselfYam King
5MUFHHTWHG6ZNP6.7652.0	One of the best stress relievers is exercise. It also helps reduce or get rid of depression! Avoid caffeine after noon..
5MUFHHTWHG6ZNP6.7652.1	Talk to a good friend..
5MUFHHTWHG6ZNP6.7652.2	Yoga is good for relaxation, meditation, and focus. Other than that, turn off the TV and get off the computer after 10PM. Listen to some soft music and read. Take a relaxing bath. Keep the lights low..
5MUFHHTWHG6ZNP6.7652.3	Good luck!
5MUFHHTWHG6ZNP6.20983.0	breathing. it sounds really dumb but with consistent slow breaths sometimes with closed eyes, it helps to control stress&anxiety. and also after a long day at work, try to treat yourself to something nice, like a nice long bath with scented candles, or a girls night out to a movie.
5MUFHHTWHG6ZNP6.63936.0	First: all toxic people gotta go..the ones who can t live without drama and bring you into it. Down time everyday..just for you alone.doing whateveryou like to do..
5MUFHHTWHG6ZNP6.63936.1	I ve had people get finger paints, water-color paints and play like a kid.it s fun..de-stressing and a lot of big companies are paying for their workers to go for a day of kindergarten..we sometimes forget how easy it is to play and have fun...
5MUFHHTWHG6ZNP6.63937.0	B-complex vitamins are really good to keep u calm&focussed.  
5MUFHHTWHG6ZNP6.63937.1	They also give u an enegry boost.  
5MUFHHTWHG6ZNP6.63937.2	Just make sure u take them with food so u don t get nauseated.
