NZRNU8RXP18E2ER.35161.0	Just talk with your near&Dears! 
NZRNU8RXP18E2ER.35161.1	freely about your thinking...........about you feelings......and see the result.dont try to hide your emotions&feelings from dears.
NZRNU8RXP18E2ER.44928.0	You can get good relief by practicing proper Breathing techniques, Meditation and doing Yoga on daily basis.
NZRNU8RXP18E2ER.44928.1	 Apart from his you can hae regular prayers and make habit of reading spititual books  regularly-Controlled Breathing Techniques-When you are anxious, you tend to breathe shallowly, using your upper chest muscles.
NZRNU8RXP18E2ER.44928.2	 Your breathing can become extremely rapid and erratic, leading to hyperventilation.
NZRNU8RXP18E2ER.44928.3	 Controlled breathing is a technique that you can use to counteract this stress response and induce a state of calm within 3 to 5 minutes.
NZRNU8RXP18E2ER.44928.4	 Try this simple technique, using the following steps: -Lie on your back, placing one hand over your heart and the other on your abdomen.
NZRNU8RXP18E2ER.44928.5	 -Inhale slowly and deeply through your nose for a count of 4.
NZRNU8RXP18E2ER.44928.6	 -Watch the hand on your abdomen rise as you fill your lungs with air, expanding your chest.
NZRNU8RXP18E2ER.44928.7	 (The hand over your heart should barely move, if at all.
NZRNU8RXP18E2ER.44928.8	) -Hold your breath for a count of 4.
NZRNU8RXP18E2ER.44928.9	 -Exhale slowly through the mouth or nose for a count of 4.
NZRNU8RXP18E2ER.44928.10	 -Repeat for 10 full breaths.
NZRNU8RXP18E2ER.44928.11	 Work up to 2 or 3 sets of 10 breaths each.
NZRNU8RXP18E2ER.44928.12	 Meditation -Meditation is a practice of concentrated focus upon a sound, object, visualization, the breath, movement, or attention itself in order to increase awareness of the present moment, reduce stress, promote relaxation, and enhance personal and spiritual growth..Med
NZRNU8RXP18E2ER.44928.13	Meditation benefits people with or without acute medical illness or stress.
NZRNU8RXP18E2ER.44928.14	 People who meditate regularly have been shown to feel less anxiety and depression.
NZRNU8RXP18E2ER.44928.15	 Yoga - You can start doing Yoga with simple ASANAS.
NZRNU8RXP18E2ER.44928.16	 Yoga has been used to alleviate problems associated with high blood pressure, high cholesterol, migraine headaches, asthma, shallow breathing, backaches, constipation, diabetes, menopause, multiple sclerosis, varicose veins, carpal tunnel syndrome and many chronic illnesses.
NZRNU8RXP18E2ER.44928.17	 It also has been studied and approved for its ability to promote relaxation and reduce stress.
NZRNU8RXP18E2ER.44928.18	 For the time being you need not go to Doctor and I suggest the above methods, as going to doctor will make you addict to stress cure medicines, which can not be discontinued later.
NZRNU8RXP18E2ER.44928.19	 Also do not try sleeping tablets.
NZRNU8RXP18E2ER.44929.0	Wow kiddo, you have to destress here.  Don t take life so seriously.  Believe me this world will go on with or without you!!
NZRNU8RXP18E2ER.44929.1	Get outside and get some exercise.  It will counteract the stress.  Get into a routine of doing something daily, and seriously stop taking everything so seriously.  Life will work itself out and you needn t be such a perfectionist or worrier either..
NZRNU8RXP18E2ER.44929.2	Worry doesn t do a darned thing.  It doesn t make something happen; it doesn t alter anything, and it just consumes your time--no amount of worrying will change the outcome of anything..
NZRNU8RXP18E2ER.44929.3	So take a deep breath.listen to some calming music or waterfall or something at bedtime.learn to meditate and stop  your mind from racing. You have to learn coping skills or everything in your life will get out of control.  Trust me.been there done that.  It will manifest itself physically if you keep this up and yes it can and will ruin your health if you let it!
